brand,unit,category,name,price,code,cname
16,6,16,Eye Brow,100,1001,Threading
16,6,16,Upper Lips,100,1002,Threading
16,6,16,Chin,80,1003,Threading
16,6,16,Fore Head,100,1004,Threading
16,6,16,Side Looks,200,1005,Threading
16,6,16,Full Face,800,1006,Threading
16,6,21,Face (Normal),1000,1007,Polish
16,6,21,Coconut Polish (Face),1100,1008,Polish
16,6,21,Milk Polish (Face),1200,1009,Polish
16,6,21,Face and Neck (Normal),1800,1010,Polish
16,6,21,Under Arms,500,1011,Polish
16,6,17,Ear Piercing (Both),3000,1012,Ear Piercing
16,6,17,Ear Piercing (1 Ear),1500,1013,Ear Piercing
16,6,17,Nose Piercing,1800,1014,Ear Piercing
16,6,22,Straight Cut,300,1015,Haircut
16,6,22,V Shape,500,1016,Haircut
16,6,22,U Shape,400,1017,Haircut
16,6,22,Long Layers,800,1018,Haircut
16,6,22,Short Layers,800,1019,Haircut
16,6,22,Bangs Cut,350,1020,Haircut
16,6,22,Curtain Bangs,400,1021,Haircut
16,6,22,Bob Cut,1000,1022,Haircut
16,6,22,Long Bob,1200,1023,Haircut
16,6,22,Butterfly Cut,1200,1024,Haircut
16,6,22,Jawline Bob,1000,1025,Haircut
16,6,22,Italian Bob,1200,1026,Haircut
16,6,22,Textured Bob,1200,1027,Haircut
16,6,22,Modern Shag Cut,1450,1028,Haircut
16,6,22,Long Shag,1500,1029,Haircut
16,6,22,Feathered Cut,1200,1030,Haircut
16,6,22,Blank Cut,800,1031,Haircut
16,6,22,Long Waves,1450,1032,Haircut
16,6,22,Long Shaggy,800,1033,Haircut
16,6,22,Short Shaggy,800,1034,Haircut
16,6,22,Sliced Layers,1150,1035,Haircut
16,6,22,Long Boho Layers,1400,1036,Haircut
16,6,22,Long Razor Layers,1400,1037,Haircut
16,6,22,Long Volume,1200,1038,Haircut
16,6,22,Short Volume,1200,1039,Haircut
16,6,22,Mullet Cut,1150,1040,Haircut
16,6,22,Hime Cut,1200,1041,Haircut
16,6,22,Hush Cut,1200,1042,Haircut
16,6,22,Three Layers Step,800,1043,Haircut
16,6,22,Wolf Cut,1100,1044,Haircut
